indicator_id,pillar,category_vi,indicator_name_vi,framework,retrieval_query,keywords_vi,score_0,score_1,score_2,score_3,evidence_requirement
S2,S,Xã hội,Tỷ lệ nghỉ việc,GRI,Công bố Tỷ lệ nghỉ việc?,xã hội,Không,Đề cập,Có số liệu/chương trình,Có số liệu+kết quả,Bằng chứng liên quan
S3,S,Xã hội,Phúc lợi lao động,GRI,Công bố Phúc lợi lao động?,xã hội,Không,Đề cập,Có số liệu/chương trình,Có số liệu+kết quả,Bằng chứng liên quan
S4,S,Xã hội,Đào tạo nhân viên,GRI,Công bố Đào tạo nhân viên?,xã hội,Không,Đề cập,Có số liệu/chương trình,Có số liệu+kết quả,Bằng chứng liên quan
S5,S,Xã hội,Số giờ đào tạo,GRI,Công bố Số giờ đào tạo?,xã hội,Không,Đề cập,Có số liệu/chương trình,Có số liệu+kết quả,Bằng chứng liên quan
S6,S,Xã hội,Phát triển nghề nghiệp,GRI,Công bố Phát triển nghề nghiệp?,xã hội,Không,Đề cập,Có số liệu/chương trình,Có số liệu+kết quả,Bằng chứng liên quan
S7,S,Xã hội,Cơ cấu giới tính,GRI,Công bố Cơ cấu giới tính?,xã hội,Không,Đề cập,Có số liệu/chương trình,Có số liệu+kết quả,Bằng chứng liên quan
S8,S,Xã hội,Tỷ lệ nữ quản lý,GRI,Công bố Tỷ lệ nữ quản lý?,xã hội,Không,Đề cập,Có số liệu/chương trình,Có số liệu+kết quả,Bằng chứng liên quan
S9,S,Xã hội,Bình đẳng cơ hội,GRI,Công bố Bình đẳng cơ hội?,xã hội,Không,Đề cập,Có số liệu/chương trình,Có số liệu+kết quả,Bằng chứng liên quan
S10,S,Xã hội,Chính sách an toàn lao động,GRI,Công bố Chính sách an toàn lao động?,xã hội,Không,Đề cập,Có số liệu/chương trình,Có số liệu+kết quả,Bằng chứng liên quan
S11,S,Xã hội,Tỷ lệ tai nạn lao động,GRI,Công bố Tỷ lệ tai nạn lao động?,xã hội,Không,Đề cập,Có số liệu/chương trình,Có số liệu+kết quả,Bằng chứng liên quan
S12,S,Xã hội,Ngày mất lao động,GRI,Công bố Ngày mất lao động?,xã hội,Không,Đề cập,Có số liệu/chương trình,Có số liệu+kết quả,Bằng chứng liên quan
S13,S,Xã hội,Chính sách nhân quyền,GRI,Công bố Chính sách nhân quyền?,xã hội,Không,Đề cập,Có số liệu/chương trình,Có số liệu+kết quả,Bằng chứng liên quan
S14,S,Xã hội,Chống phân biệt đối xử,GRI,Công bố Chống phân biệt đối xử?,xã hội,Không,Đề cập,Có số liệu/chương trình,Có số liệu+kết quả,Bằng chứng liên quan
S15,S,Xã hội,Đầu tư cộng đồng,GRI,Công bố Đầu tư cộng đồng?,xã hội,Không,Đề cập,Có số liệu/chương trình,Có số liệu+kết quả,Bằng chứng liên quan
S16,S,Xã hội,Hoạt động CSR,GRI,Công bố Hoạt động CSR?,xã hội,Không,Đề cập,Có số liệu/chương trình,Có số liệu+kết quả,Bằng chứng liên quan
S17,S,Xã hội,Tương tác các bên liên quan,GRI,Công bố Tương tác các bên liên quan?,xã hội,Không,Đề cập,Có số liệu/chương trình,Có số liệu+kết quả,Bằng chứng liên quan
G1,G,Quản trị,Quy mô HĐQT,GRI/ISSB,Công bố Quy mô HĐQT?,quản trị,Không,Đề cập,Có mô tả,Có mô tả+kết quả/số liệu,Bằng chứng liên quan
G2,G,Quản trị,Thành viên độc lập,GRI/ISSB,Công bố Thành viên độc lập?,quản trị,Không,Đề cập,Có mô tả,Có mô tả+kết quả/số liệu,Bằng chứng liên quan
G3,G,Quản trị,Tỷ lệ độc lập HĐQT,GRI/ISSB,Công bố Tỷ lệ độc lập HĐQT?,quản trị,Không,Đề cập,Có mô tả,Có mô tả+kết quả/số liệu,Bằng chứng liên quan
G4,G,Quản trị,Thành viên nữ HĐQT,GRI/ISSB,Công bố Thành viên nữ HĐQT?,quản trị,Không,Đề cập,Có mô tả,Có mô tả+kết quả/số liệu,Bằng chứng liên quan
G5,G,Quản trị,Ủy ban kiểm toán,GRI/ISSB,Công bố Ủy ban kiểm toán?,quản trị,Không,Đề cập,Có mô tả,Có mô tả+kết quả/số liệu,Bằng chứng liên quan
G6,G,Quản trị,Ủy ban quản lý rủi ro,GRI/ISSB,Công bố Ủy ban quản lý rủi ro?,quản trị,Không,Đề cập,Có mô tả,Có mô tả+kết quả/số liệu,Bằng chứng liên quan
G7,G,Quản trị,Ủy ban ESG,GRI/ISSB,Công bố Ủy ban ESG?,quản trị,Không,Đề cập,Có mô tả,Có mô tả+kết quả/số liệu,Bằng chứng liên quan
G8,G,Quản trị,Quy tắc đạo đức kinh doanh,GRI/ISSB,Công bố Quy tắc đạo đức kinh doanh?,quản trị,Không,Đề cập,Có mô tả,Có mô tả+kết quả/số liệu,Bằng chứng liên quan
G9,G,Quản trị,Chính sách chống tham nhũng,GRI/ISSB,Công bố Chính sách chống tham nhũng?,quản trị,Không,Đề cập,Có mô tả,Có mô tả+kết quả/số liệu,Bằng chứng liên quan
G10,G,Quản trị,Cơ chế tố giác vi phạm,GRI/ISSB,Công bố Cơ chế tố giác vi phạm?,quản trị,Không,Đề cập,Có mô tả,Có mô tả+kết quả/số liệu,Bằng chứng liên quan
G11,G,Quản trị,Quản trị rủi ro doanh nghiệp,GRI/ISSB,Công bố Quản trị rủi ro doanh nghiệp?,quản trị,Không,Đề cập,Có mô tả,Có mô tả+kết quả/số liệu,Bằng chứng liên quan
G12,G,Quản trị,Rủi ro bền vững,GRI/ISSB,Công bố Rủi ro bền vững?,quản trị,Không,Đề cập,Có mô tả,Có mô tả+kết quả/số liệu,Bằng chứng liên quan
G13,G,Quản trị,Kiểm soát nội bộ,GRI/ISSB,Công bố Kiểm soát nội bộ?,quản trị,Không,Đề cập,Có mô tả,Có mô tả+kết quả/số liệu,Bằng chứng liên quan
G14,G,Quản trị,Tương tác cổ đông,GRI/ISSB,Công bố Tương tác cổ đông?,quản trị,Không,Đề cập,Có mô tả,Có mô tả+kết quả/số liệu,Bằng chứng liên quan
G15,G,Quản trị,Thù lao HĐQT và điều hành,GRI/ISSB,Công bố Thù lao HĐQT và điều hành?,quản trị,Không,Đề cập,Có mô tả,Có mô tả+kết quả/số liệu,Bằng chứng liên quan
