indicator_id,indicator_name_en,pillar,category_vi,indicator_name_vi,framework,gri_reference,definition,retrieval_query,keywords_vi,keywords_en,keywords_energy,materiality,industry_relevance,weight,score_0,score_1,score_2,score_3,evidence_requirement
E13,Water Withdrawal,E,Môi trường,Khai thác nước,GRI/TCFD/ISSB,REF,Lượng nước sử dụng,water withdrawal,nước sử dụng,water withdrawal,kw_energy,High,Energy|Utilities,1,Không đề cập,Định tính,Định lượng,Định lượng+kết quả,Bằng chứng
E14,Water Intensity,E,Môi trường,Cường độ nước,GRI/TCFD/ISSB,REF,Mức sử dụng nước trên đơn vị hoạt động,water intensity,cường độ nước,water intensity,kw_energy,High,Energy|Utilities,1,Không đề cập,Định tính,Định lượng,Định lượng+kết quả,Bằng chứng
E15,Water Recycling,E,Môi trường,Tái sử dụng nước,GRI/TCFD/ISSB,REF,Hoạt động tái chế/tái sử dụng nước,water recycling,tái sử dụng nước,water recycling,kw_energy,High,Energy|Utilities,1,Không đề cập,Định tính,Định lượng,Định lượng+kết quả,Bằng chứng
E16,Waste Generated,E,Môi trường,Chất thải phát sinh,GRI/TCFD/ISSB,REF,Khối lượng chất thải phát sinh,waste generated,chất thải,waste generated,kw_energy,High,Energy|Utilities,1,Không đề cập,Định tính,Định lượng,Định lượng+kết quả,Bằng chứng
E17,Waste Recycled,E,Môi trường,Tái chế chất thải,GRI/TCFD/ISSB,REF,Khối lượng/tỷ lệ tái chế,waste recycled,tái chế chất thải,waste recycled,kw_energy,High,Energy|Utilities,1,Không đề cập,Định tính,Định lượng,Định lượng+kết quả,Bằng chứng
E18,Hazardous Waste,E,Môi trường,Chất thải nguy hại,GRI/TCFD/ISSB,REF,Công bố chất thải nguy hại,hazardous waste,chất thải nguy hại,hazardous waste,kw_energy,High,Energy|Utilities,1,Không đề cập,Định tính,Định lượng,Định lượng+kết quả,Bằng chứng
E19,Biodiversity,E,Môi trường,Đa dạng sinh học,GRI/TCFD/ISSB,REF,Tác động hoặc bảo tồn đa dạng sinh học,biodiversity,đa dạng sinh học,biodiversity,kw_energy,High,Energy|Utilities,1,Không đề cập,Định tính,Định lượng,Định lượng+kết quả,Bằng chứng
E20,Environmental Investment,E,Môi trường,Đầu tư môi trường,GRI/TCFD/ISSB,REF,Chi phí/đầu tư môi trường,environmental investment,đầu tư môi trường,environmental investment,kw_energy,High,Energy|Utilities,1,Không đề cập,Định tính,Định lượng,Định lượng+kết quả,Bằng chứng
S1,Employees,S,Xã hội,Tổng lao động,GRI/SASB,REF,Số lượng nhân viên,number of employees,số lao động,employees,kw_energy,Medium,All,1,Không đề cập,Định tính,Định lượng,Định lượng+kết quả,Bằng chứng
S2,Employee Growth,S,Xã hội,Tăng trưởng lao động,GRI/SASB,REF,Biến động số lao động,employee growth,tăng trưởng lao động,employee growth,kw_energy,Medium,All,1,Không đề cập,Định tính,Định lượng,Định lượng+kết quả,Bằng chứng
S3,Female Employees,S,Xã hội,Lao động nữ,GRI/SASB,REF,Tỷ lệ lao động nữ,female employees,lao động nữ,female employees,kw_energy,Medium,All,1,Không đề cập,Định tính,Định lượng,Định lượng+kết quả,Bằng chứng
S4,Diversity Policy,S,Xã hội,Chính sách đa dạng,GRI/SASB,REF,Chính sách đa dạng và hòa nhập,diversity policy,đa dạng hòa nhập,diversity,kw_energy,Medium,All,1,Không đề cập,Định tính,Định lượng,Định lượng+kết quả,Bằng chứng
S5,Training Hours,S,Xã hội,Đào tạo nhân viên,GRI/SASB,REF,Số giờ đào tạo,training hours,đào tạo,training hours,kw_energy,Medium,All,1,Không đề cập,Định tính,Định lượng,Định lượng+kết quả,Bằng chứng
S6,Training Investment,S,Xã hội,Chi phí đào tạo,GRI/SASB,REF,Đầu tư cho đào tạo,training investment,chi phí đào tạo,training investment,kw_energy,Medium,All,1,Không đề cập,Định tính,Định lượng,Định lượng+kết quả,Bằng chứng
S7,LTIFR,S,Xã hội,Tần suất tai nạn lao động,GRI/SASB,REF,Tỷ lệ tai nạn lao động mất ngày công,LTIFR,tai nạn lao động,LTIFR,kw_energy,Medium,All,1,Không đề cập,Định tính,Định lượng,Định lượng+kết quả,Bằng chứng
S8,Injuries,S,Xã hội,Tai nạn lao động,GRI/SASB,REF,Số vụ tai nạn,workplace injuries,tai nạn lao động,injuries,kw_energy,Medium,All,1,Không đề cập,Định tính,Định lượng,Định lượng+kết quả,Bằng chứng
S9,Fatalities,S,Xã hội,Tử vong lao động,GRI/SASB,REF,Số ca tử vong lao động,workplace fatalities,tử vong lao động,fatalities,kw_energy,Medium,All,1,Không đề cập,Định tính,Định lượng,Định lượng+kết quả,Bằng chứng
S10,Health & Safety,S,Xã hội,An toàn sức khỏe nghề nghiệp,GRI/SASB,REF,Chính sách OHS,occupational health and safety,an toàn sức khỏe,OHS,kw_energy,Medium,All,1,Không đề cập,Định tính,Định lượng,Định lượng+kết quả,Bằng chứng
S11,Employee Benefits,S,Xã hội,Phúc lợi nhân viên,GRI/SASB,REF,Phúc lợi ngoài lương,employee benefits,phúc lợi,benefits,kw_energy,Medium,All,1,Không đề cập,Định tính,Định lượng,Định lượng+kết quả,Bằng chứng
S12,Collective Bargaining,S,Xã hội,Thỏa ước lao động,GRI/SASB,REF,Quan hệ lao động tập thể,collective bargaining,thỏa ước lao động,collective bargaining,kw_energy,Medium,All,1,Không đề cập,Định tính,Định lượng,Định lượng+kết quả,Bằng chứng
S13,Human Rights,S,Xã hội,Nhân quyền,GRI/SASB,REF,Chính sách nhân quyền,human rights policy,nhân quyền,human rights,kw_energy,Medium,All,1,Không đề cập,Định tính,Định lượng,Định lượng+kết quả,Bằng chứng
S14,Child Labor,S,Xã hội,Lao động trẻ em,GRI/SASB,REF,Cam kết không sử dụng lao động trẻ em,child labor,lao động trẻ em,child labor,kw_energy,Medium,All,1,Không đề cập,Định tính,Định lượng,Định lượng+kết quả,Bằng chứng
S15,Community Investment,S,Xã hội,Đầu tư cộng đồng,GRI/SASB,REF,Hoạt động hỗ trợ cộng đồng,community investment,cộng đồng,community,kw_energy,Medium,All,1,Không đề cập,Định tính,Định lượng,Định lượng+kết quả,Bằng chứng
S16,Charity,S,Xã hội,Từ thiện,GRI/SASB,REF,Đóng góp từ thiện,charitable donation,từ thiện,charity,kw_energy,Medium,All,1,Không đề cập,Định tính,Định lượng,Định lượng+kết quả,Bằng chứng
S17,Customer Privacy,S,Xã hội,Bảo mật khách hàng,GRI/SASB,REF,Bảo vệ dữ liệu khách hàng,customer privacy,bảo mật dữ liệu,privacy,kw_energy,Medium,All,1,Không đề cập,Định tính,Định lượng,Định lượng+kết quả,Bằng chứng
S18,Product Safety,S,Xã hội,An toàn sản phẩm,GRI/SASB,REF,An toàn và chất lượng sản phẩm,product safety,an toàn sản phẩm,product safety,kw_energy,Medium,All,1,Không đề cập,Định tính,Định lượng,Định lượng+kết quả,Bằng chứng
S19,Supplier Screening,S,Xã hội,Đánh giá nhà cung cấp,GRI/SASB,REF,Tiêu chí ESG với nhà cung cấp,supplier ESG screening,nhà cung cấp,supplier screening,kw_energy,Medium,All,1,Không đề cập,Định tính,Định lượng,Định lượng+kết quả,Bằng chứng
S20,Supply Chain Risk,S,Xã hội,Rủi ro chuỗi cung ứng,GRI/SASB,REF,Quản lý rủi ro chuỗi cung ứng,supply chain risk,chuỗi cung ứng,supply chain risk,kw_energy,Medium,All,1,Không đề cập,Định tính,Định lượng,Định lượng+kết quả,Bằng chứng
G1,Board Size,G,Quản trị,Quy mô HĐQT,GRI/ISSB,REF,Số lượng thành viên HĐQT,board size,HĐQT,board members,kw_energy,Medium,All,1,Không đề cập,Định tính,Định lượng,Định lượng+kết quả,Bằng chứng
G2,Independent Directors,G,Quản trị,Thành viên độc lập,GRI/ISSB,REF,Tỷ lệ thành viên độc lập,independent directors,thành viên độc lập,independent directors,kw_energy,Medium,All,1,Không đề cập,Định tính,Định lượng,Định lượng+kết quả,Bằng chứng
G3,Female Directors,G,Quản trị,Thành viên nữ HĐQT,GRI/ISSB,REF,Tỷ lệ nữ trong HĐQT,female directors,nữ HĐQT,female directors,kw_energy,Medium,All,1,Không đề cập,Định tính,Định lượng,Định lượng+kết quả,Bằng chứng
G4,Board Meetings,G,Quản trị,Họp HĐQT,GRI/ISSB,REF,Số cuộc họp HĐQT,board meetings,họp HĐQT,board meetings,kw_energy,Medium,All,1,Không đề cập,Định tính,Định lượng,Định lượng+kết quả,Bằng chứng
G5,Audit Committee,G,Quản trị,Ủy ban kiểm toán,GRI/ISSB,REF,Công bố ủy ban kiểm toán,audit committee,ủy ban kiểm toán,audit committee,kw_energy,Medium,All,1,Không đề cập,Định tính,Định lượng,Định lượng+kết quả,Bằng chứng
G6,Risk Committee,G,Quản trị,Ủy ban rủi ro,GRI/ISSB,REF,Công bố ủy ban rủi ro,risk committee,ủy ban rủi ro,risk committee,kw_energy,Medium,All,1,Không đề cập,Định tính,Định lượng,Định lượng+kết quả,Bằng chứng
G7,ESG Committee,G,Quản trị,Ủy ban ESG,GRI/ISSB,REF,Ủy ban phát triển bền vững/ESG,ESG committee,ủy ban ESG,sustainability committee,kw_energy,Medium,All,1,Không đề cập,Định tính,Định lượng,Định lượng+kết quả,Bằng chứng
G8,Anti-Corruption Policy,G,Quản trị,Chính sách chống tham nhũng,GRI/ISSB,REF,Chính sách chống tham nhũng,anti-corruption policy,chống tham nhũng,anti-corruption,kw_energy,Medium,All,1,Không đề cập,Định tính,Định lượng,Định lượng+kết quả,Bằng chứng
G9,Corruption Cases,G,Quản trị,Vụ việc tham nhũng,GRI/ISSB,REF,Số vụ vi phạm/tham nhũng,corruption cases,tham nhũng,corruption cases,kw_energy,Medium,All,1,Không đề cập,Định tính,Định lượng,Định lượng+kết quả,Bằng chứng
G10,Whistleblowing,G,Quản trị,Cơ chế tố cáo,GRI/ISSB,REF,Cơ chế tố cáo vi phạm,whistleblowing mechanism,tố cáo vi phạm,whistleblowing,kw_energy,Medium,All,1,Không đề cập,Định tính,Định lượng,Định lượng+kết quả,Bằng chứng
